Item ID,Name,Category,Description,Variant 1 - Name,Variant 1 - Price,Variant 1 - SKU,Variant 2 - Name,Variant 2 - Price,Variant 2 - SKU,Variant 3 - Name,Variant 3 - Price,Variant 3 - SKU,Tax - Moms (25%)
,Sony h.ear go Bluetooth/Wi-Fi højttaler Pink,Trådløse højttalere ,Sony h.ear go Bluetooth/Wi-Fi højttaler Pink,Sony h.ear go Bluetooth/Wi-Fi højttaler Pink,2249.000000,,,,,,,,Y
,Sony h.ear go Bluetooth/Wi-Fi højttaler Red,Trådløse højttalere ,Sony h.ear go Bluetooth/Wi-Fi højttaler Red,Sony h.ear go Bluetooth/Wi-Fi højttaler Red,2249.000000,,,,,,,,Y
,Sony h.ear go Bluetooth/Wi-Fi højttaler Yellow,Trådløse højttalere ,Sony h.ear go Bluetooth/Wi-Fi højttaler Yellow,Sony h.ear go Bluetooth/Wi-Fi højttaler Yellow,2249.000000,,,,,,,,Y
,Sony h.ear go Bluetooth/Wi-Fi højttaler Blue,Trådløse højttalere ,Sony h.ear go Bluetooth/Wi-Fi højttaler Blue,Sony h.ear go Bluetooth/Wi-Fi højttaler Blue,2249.000000,,,,,,,,Y
,Sony h.ear go Bluetooth/Wi-Fi højttaler Black,Trådløse højttalere ,Sony h.ear go Bluetooth/Wi-Fi højttaler Black,Sony h.ear go Bluetooth/Wi-Fi højttaler Black,2249.000000,,,,,,,,Y
,Sony SRS-ZR7 trådløs højttaler med Bluetooth/Wi-Fi Black,Trådløse højttalere ,Sony SRS-ZR7 trådløs højttaler med Bluetooth/Wi-Fi Black,Sony SRS-ZR7 trådløs højttaler med Bluetooth/Wi-Fi Black,.000000,,,,,,,,Y
,Sony SRS-ZR7 trådløs højttaler med Bluetooth/Wi-Fi White,Trådløse højttalere ,Sony SRS-ZR7 trådløs højttaler med Bluetooth/Wi-Fi White,Sony SRS-ZR7 trådløs højttaler med Bluetooth/Wi-Fi White,.000000,,,,,,,,Y
,Sony SRS-X99 Trådløs højttaler med Wi-Fi/Bluetooth,Trådløse højttalere ,Sony SRS-X99 Trådløs højttaler med Wi-Fi/Bluetooth,Sony SRS-X99 Trådløs højttaler med Wi-Fi/Bluetooth,5299.000000,,,,,,,,Y
,Audio-Technica ATH-ANC9,Hovedtelefoner Mikrofon Noise-Cancelling Street ,Audio-Technica ATH-ANC9,Audio-Technica ATH-ANC9,1749.000000,,,,,,,,Y
,Audio-Technica ATH-ANC70,Hovedtelefoner Mikrofon Noise-Cancelling Street ,Audio-Technica ATH-ANC70,Audio-Technica ATH-ANC70,1199.000000,,,,,,,,Y
,Skullcandy Smokin' Buds 2 Wireless Black/Black/Chrome,Hovedtelefoner In-Ear Mikrofon Street Wireless ,Skullcandy Smokin' Buds 2 Wireless Black/Black/Chrome,Skullcandy Smokin' Buds 2 Wireless Black/Black/Chrome,499.000000,,,,,,,,Y
,Skullcandy Smokin' Buds 2 Wireless White/White/Chrome,Hovedtelefoner In-Ear Mikrofon Street Wireless ,Skullcandy Smokin' Buds 2 Wireless White/White/Chrome,Skullcandy Smokin' Buds 2 Wireless White/White/Chrome,499.000000,,,,,,,,Y
,Skullcandy UPROAR Wireless White/Gray/Red w/Mic3,Mikrofon Street Wireless ,Skullcandy UPROAR Wireless White/Gray/Red w/Mic3,Skullcandy UPROAR Wireless White/Gray/Red w/Mic3,449.000000,,,,,,,,Y
,Skullcandy UPROAR Wireless Locals Only/Multi/White w/Mic3,Mikrofon Street Wireless ,Skullcandy UPROAR Wireless Locals Only/Multi/White w/Mic3,Skullcandy UPROAR Wireless Locals Only/Multi/White w/Mic3,449.000000,,,,,,,,Y
,Skullcandy UPROAR Wireless Black/Gray w/Mic3,Mikrofon Street Wireless ,Skullcandy UPROAR Wireless Black/Gray w/Mic3,Skullcandy UPROAR Wireless Black/Gray w/Mic3,449.000000,,,,,,,,Y
,Sony h.ear in NC Yellow,Hovedtelefoner In-Ear Mikrofon Noise-Cancelling Street ,Sony h.ear in NC Yellow,Sony h.ear in NC Yellow,1349.000000,,,,,,,,Y
,Sony h.ear in NC Pink,Hovedtelefoner In-Ear Mikrofon Noise-Cancelling Street ,Sony h.ear in NC Pink,Sony h.ear in NC Pink,1349.000000,,,,,,,,Y
,Sony h.ear in NC Blue,Hovedtelefoner In-Ear Mikrofon Noise-Cancelling Street ,Sony h.ear in NC Blue,Sony h.ear in NC Blue,1349.000000,,,,,,,,Y
,Sony PS-HX500 USB-pladespiller,Pladespillere ,Sony PS-HX500 USB-pladespiller,Sony PS-HX500 USB-pladespiller,4999.000000,,,,,,,,Y
,Audio-Technica AT-PHA100,DAC Preamps / Hovedtelefonforstærker ,Audio-Technica AT-PHA100,Audio-Technica AT-PHA100,.000000,,,,,,,,Y
,Sony h.ear in NC Red,Hovedtelefoner In-Ear Mikrofon Noise-Cancelling Street ,Sony h.ear in NC Red,Sony h.ear in NC Red,1349.000000,,,,,,,,Y
,Sony h.ear in NC Black,Hovedtelefoner In-Ear Mikrofon Noise-Cancelling Street ,Sony h.ear in NC Black,Sony h.ear in NC Black,1349.000000,,,,,,,,Y
,Sony MDR-V55 Red,DJ Hovedtelefoner Street ,Sony MDR-V55 Red,Sony MDR-V55 Red,549.000000,,,,,,,,Y
,Sony MDR-V55 White,DJ Hovedtelefoner Street ,Sony MDR-V55 White,Sony MDR-V55 White,549.000000,,,,,,,,Y
,Sony MDR-V55 Black,DJ Hovedtelefoner Street ,Sony MDR-V55 Black,Sony MDR-V55 Black,549.000000,,,,,,,,Y
,Sony MDR-V55 Blue,DJ Hovedtelefoner Street ,Sony MDR-V55 Blue,Sony MDR-V55 Blue,549.000000,,,,,,,,Y
,Sony MDR-ZX110 Pink,Hovedtelefoner Street ,Sony MDR-ZX110 Pink,Sony MDR-ZX110 Pink,159.000000,,,,,,,,Y
,Sony MDR-ZX110 Black,Hovedtelefoner Street ,Sony MDR-ZX110 Black,Sony MDR-ZX110 Black,159.000000,,,,,,,,Y
